,x,y,2,3,Velocity Component
0,7.044385854,8.281804424,,,
1,7.07901585,8.326203131,52.04656783,51.57197754,1.05219587
2,7.127497844,8.426100222,64.11180235,46.3456692,-2.868437621
3,7.182905837,8.470498929,38.70537456,159.6229914,-3.328279838
4,7.23138783,8.550046612,58.63891076,256.4866255,1.740417997
5,7.300647821,8.605544996,38.70537479,245.8519971,2.783644703
6,7.335277817,8.69434241,68.6947739,251.6689904,3.795081821
7,7.362981813,8.738741117,58.0365772,182.5512223,3.798750693
8,7.418389806,8.772040147,31.00497549,277.4096708,2.344471471
9,7.473797799,8.838638207,50.24035353,293.9764102,0.947618037
10,7.549983789,8.949634975,55.53506503,276.0378825,3.673980095
11,7.612317781,9.016233035,46.89420769,285.7014384,-3.960160792
12,7.653873776,9.082831096,58.03657678,279.6317889,-4.025960252
13,7.716207768,9.182728186,58.0365766,269.3949059,2.857553777
14,7.779696093,9.216027216,27.67658811,229.9673027,-3.252087928
15,7.835104086,9.315924307,60.98502739,153.8784885,-4.020637854
16,7.87666008,9.382522368,58.0365774,121.0121789,-0.244986099
17,7.925142074,9.460220105,58.03657659,163.0954739,3.88469461
18,7.973624068,9.515718489,48.86035374,200.4622239,3.324937004
19,8.03595806,9.582316549,46.89420769,185.7635615,-3.694608852
20,8.077514054,9.582316549,0,166.6123157,-4.004351813
21,8.125996048,9.582316549,0,176.7700984,2.685662169
22,8.146774046,9.637814933,69.47464041,183.4768775,1.214479602
23,8.146774046,9.726612347,90,191.4269287,-3.939103696
24,8.146774046,9.78211073,90,196.9685027,-2.336876166
25,8.146774046,9.848708791,90,110.980949,-2.090105366
26,8.181404041,9.904207175,58.03657732,154.5645416,-3.262836861
27,8.229886035,9.859808468,317.5172567,67.25988658,-1.129948203
28,8.26451603,9.826509437,316.1224784,91.98954014,-2.555879299
29,8.306072025,9.737712023,295.0789616,49.24873554,2.119155497
30,8.306072025,9.671113963,270,44.2983913,3.82822887
31,8.306072025,9.604515903,270,147.8639887,-3.940016869
32,8.306072025,9.537917842,270,138.5605965,3.809769427
33,8.306072025,9.449120428,270,75.23132321,3.971809458
34,8.306072025,9.338123661,270,301.1934646,3.710722214
35,8.306072025,9.260425923,270,257.3080583,3.844848177
36,8.271442029,9.149429156,252.6725464,293.1310045,-2.300473512
37,8.236812034,9.093930772,238.0365773,206.4723896,2.588817721
38,8.209108038,9.016233035,250.3757395,52.19750037,-1.423486136
39,8.160626044,8.960734651,228.8603537,57.25185496,3.072328715
40,8.098292052,8.82753853,244.9210386,85.24565907,-3.673341887
41,8.056736057,8.772040147,233.1749208,178.3084233,-2.912927361
42,8.008254063,8.661043379,246.4048989,99.8244637,3.063680248
43,7.95977207,8.583345642,238.0365771,222.7941536,-3.893515137
44,7.945920071,8.561146289,238.0365748,135.2390144,-3.982230429
45,7.918216075,8.514897636,239.0774314,50.607082,3.79505291
46,7.883586079,8.437199898,245.9773968,193.5012172,1.164362851
47,7.835104086,8.359502161,238.0365771,265.5812809,-0.468982153
48,7.779696093,8.248505394,243.4722882,194.7450049,4.025485461
49,7.745066097,8.093109919,257.4368803,211.8850863,-0.691025104
50,7.758918096,8.004312505,278.8664256,243.0734438,-1.56844192
51,7.80047409,7.926614768,298.1397316,181.7555052,3.614681688
52,7.821252088,7.860016708,287.3274539,87.12820296,2.699197692
53,7.835104086,7.74901994,277.1135306,160.769321,-3.43778216
54,7.904364077,7.704621233,327.3383386,52.89064837,-3.502511713
55,7.95977207,7.626923496,305.4935166,,
56,7.994402065,7.604724143,327.3383388,,
57,8.070588055,7.593624466,351.7107934,,
58,8.174478042,7.560325436,342.2282004,,
59,8.243738033,7.560325436,0,,
60,8.319924023,7.560325436,0,,
61,8.375332016,7.560325436,0,,
62,8.458444005,7.560325436,0,,
63,8.513851998,7.571425112,11.32790568,,
64,8.603889987,7.571425112,0,,
65,8.666223979,7.560325436,349.9032956,,
66,8.728557971,7.493727375,313.1057919,,
67,8.783965963,7.416029638,305.4935161,,
68,8.846299955,7.282833517,295.0789614,,
69,8.867077953,7.17183675,280.6027518,,
70,8.867077953,7.094139012,270,,
71,8.867077953,6.960942891,270,,
72,8.853225954,6.849946124,262.8864688,,
73,8.804743961,6.716750003,249.999024,,
74,8.763187966,6.650151943,238.0365764,,
